,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,연도,상영횟수,개봉년도
0,1,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,43761835333,0.047,6685988.0,825.0,한국,한국,CJ ENM,2008,,2008
1,2,추격자,2008-02-14,33943278500,0.036,5071619.0,435.0,한국,한국,(주)쇼박스,2008,,2008
2,3,쿵푸 팬더,2008-06-05,30000965000,0.032,4673009.0,351.0,미국,미국,CJ ENM,2008,,2008
3,4,맘마미아!,2008-09-03,29465336083,0.031,4534014.0,457.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
4,5,과속스캔들,2008-12-03,28454039333,0.03,4353173.0,405.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
5,6,아이언맨,2008-04-30,27802744668,0.03,4316003.0,592.0,미국,미국,CJ ENM,2008,,2008
6,7,강철중: 공공의 적 1-1,2008-06-19,28465757767,0.03,4300670.0,659.0,한국,한국,"CJ ENM,(주)시네마서비스",2008,,2008
7,8,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,26693951667,0.028,4136101.0,660.0,미국,미국,CJ ENM,2008,,2008
8,9,미이라 3:황제의 무덤,2008-07-30,26222207084,0.028,4090795.0,527.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
9,10,다크 나이트,2008-08-06,26888174000,0.029,4061091.0,462.0,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008,,2008
10,11,우리 생애 최고의 순간,2008-01-10,26151780425,0.028,4044582.0,418.0,한국,한국,(주)싸이더스,2008,,2008
11,12,신기전,2008-09-04,24314570667,0.026,3726134.0,585.0,한국,한국,CJ ENM,2008,,2008
12,13,원티드,2008-06-26,19258777000,0.021,2867594.0,446.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
13,14,핸콕,2008-07-02,17854932333,0.019,2723518.0,602.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,,2008
14,15,테이큰,2008-04-09,15971389000,0.017,2379830.0,254.0,프랑스,프랑스,㈜스튜디오이쩜영,2008,,2008
15,16,미인도,2008-11-13,15529174500,0.017,2324741.0,463.0,한국,한국,CJ ENM,2008,,2008
16,17,이글 아이,2008-10-09,14577167667,0.016,2258369.0,330.0,미국,미국,CJ ENM,2008,,2008
17,18,007 퀀텀 오브 솔러스,2008-11-05,14366688333,0.015,2201300.0,518.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,,2008
18,19,눈에는 눈 이에는 이,2008-07-31,13414023500,0.014,2058764.0,445.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
19,20,아내가 결혼했다,2008-10-23,11995855000,0.013,1788748.0,414.0,한국,한국,CJ ENM,2008,,2008
20,21,님은 먼 곳에,2008-07-24,11211235000,0.012,1706576.0,499.0,한국,"한국,태국",(주)쇼박스,2008,,2008
