순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,1.35748E+11,17613682,33121225810,4163666,사극,15,일반영화,2014,135748398
2,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,1.39648E+11,16264944,31858660536,3638287,코미디,15,일반영화,2019,139647979
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,1.15699E+11,14410754,27530825087,3346172,판타지,12,일반영화,2017,115698654
4,국제시장,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,1.10828E+11,14245998,25842519330,3233946,드라마,12,일반영화,2014,110828014
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,1.22183E+11,13934592,33577136860,3597963,액션,12,일반영화,2019,122182694
6,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,1.1481E+11,13747792,28824682580,3225974,애니메이션,전체,일반영화,2019,114810421
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17,개봉영화,장편,미국,912,1.28447E+11,13624328,40547523000,3993374,SF,12,독립/예술영화,2009,128447097
8,베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,1.05025E+11,13395400,26766369950,3290366,액션,15,일반영화,2015,105024756
9,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15,일반영화,2012,93665568
10,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15,일반영화,2013,91431914
