,순위,영화명,개봉일,좌석판매율,좌석점유율,좌석수,매출액,누적매출액,관객수,누적관객수,년도,장르,등급
0,1,닥터 스트레인지,2016-10-26,0.175,0.032,31081073,47481830396,47481830396,5446239,5446239,2016,액션,12
1,2,캡틴 아메리카: 시빌 워,2016-04-27,0.297,0.03,29139279,72672111827,72672111827,8677249,8677249,2016,액션,12
2,3,검사외전,2016-02-03,0.344,0.029,28160055,77320403264,77320403264,9707581,9707581,2016,범죄,15
3,4,럭키,2016-10-13,0.268,0.027,25954120,56444461256,56444461256,6975290,6975290,2016,코미디,15
4,5,부산행,2016-07-20,0.448,0.026,25794545,93178283048,93178283048,11565479,11565479,2016,액션,15
5,5,밀정,2016-09-07,0.29,0.026,25841187,61269783831,61269783831,7500420,7500420,2016,액션,15
6,7,터널,2016-08-10,0.317,0.023,22436814,57529484417,57529484417,7120508,7120508,2016,드라마,12
7,7,곡성,2016-05-12,0.301,0.023,22811627,55863520382,55863520382,6879908,6879908,2016,미스터리,15
8,9,신비한 동물사전,2016-11-16,0.217,0.022,21403692,39300515858,39300515858,4662534,4662534,2016,어드벤처,12
9,10,주토피아,2016-02-17,0.225,0.021,20840676,37096057742,37096057742,4706158,4706158,2016,애니메이션,전체
10,11,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,0.123,0.019,18319428,18906246428,18906246428,2256913,2256913,2016,액션,12
11,12,덕혜옹주,2016-08-03,0.333,0.017,16803333,44393828109,44393828109,5599229,5599229,2016,사극,12
12,12,판도라,2016-12-07,0.263,0.017,16374834,33955398164,33955398164,4313864,4313864,2016,드라마,12
13,12,쿵푸팬더3,2016-01-28,0.237,0.017,16762517,31340798156,31340798156,3984812,3984812,2016,애니메이션,전체
14,12,귀향,2016-02-24,0.208,0.017,17205311,27249738990,27249738990,3587173,3587173,2016,드라마,15
15,16,인천상륙작전,2016-07-27,0.433,0.016,16269109,55101410303,55101410303,7049643,7049643,2016,전쟁,12
16,16,아가씨,2016-06-01,0.275,0.016,15574247,35211229991,35211229991,4287839,4287839,2016,스릴러,19
17,16,데드풀,2016-02-17,0.211,0.016,15653869,27595618651,27595618651,3317196,3317196,2016,액션,19
18,19,마스터,2016-12-21,0.361,0.014,13643499,39784641065,39784641065,4935320,4935320,2016,액션,15
19,19,마스터,2016-12-21,0.361,0.014,13643499,39784641065,39784641065,4935320,4935320,2016,드라마,19
20,19,형,2016-11-23,0.212,0.014,13994448,23113768293,23113768293,2979659,2979659,2016,코미디,12
21,21,미스 페레그린과 이상한 아이들의 집,2016-09-28,0.216,0.013,12560013,21841214586,21841214586,2718158,2718158,2016,미스터리,12
22,22,엑스맨: 아포칼립스,2016-05-25,0.239,0.012,12253184,24467887950,24467887950,2938818,2938818,2016,액션,12
23,22,아수라,2016-09-28,0.209,0.012,12367624,20576226662,20576226662,2594028,2594028,2016,범죄,19
24,24,히말라야,2015-12-16,0.235,0.011,11171363,20705587567,60175363015,2630352,7759761,2016,드라마,12
25,25,나우 유 씨 미 2,2016-07-13,0.312,0.01,9936006,25116690113,25116690113,3100113,3100113,2016,범죄,12
26,25,정글북,2016-06-09,0.246,0.01,10297000,21517647134,21517647134,2537438,2537438,2016,어드벤처,12
27,25,정글북,2016-06-09,0.246,0.01,10297000,21517647134,21517647134,2537438,2537438,2016,애니메이션,전체
28,25,굿바이 싱글,2016-06-29,0.218,0.01,9670519,16912706195,16912706195,2108273,2108273,2016,코미디,15
29,25,레버넌트: 죽음에서 돌아온 자,2016-01-14,0.197,0.01,10156480,16107360130,16111327130,2007188,2007665,2016,어드벤처,15
30,25,시간이탈자,2016-04-13,0.116,0.01,10301725,9731838195,9731838195,1202384,1202384,2016,스릴러,15
31,30,도리를 찾아서,2016-07-06,0.281,0.009,9258455,20703899933,20703899933,2601734,2601734,2016,애니메이션,전체
32,30,라라랜드,2016-12-07,0.255,0.009,9333952,19996139232,19996139232,2385108,2385108,2016,드라마,12
33,30,봉이 김선달,2016-07-06,0.23,0.009,8904068,16227052642,16227052642,2051277,2051277,2016,사극,12
34,30,인디펜던스 데이 : 리써전스,2016-06-22,0.163,0.009,9203699,12770879840,12770879840,1500830,1500830,2016,액션,12
35,34,오빠생각,2016-01-21,0.135,0.008,7870095,8060591287,8060591287,1069864,1069864,2016,드라마,12
36,34,"날, 보러와요",2016-04-07,0.137,0.008,7726756,8836144063,8836144063,1063442,1063442,2016,미스터리,19
37,36,컨저링 2,2016-06-09,0.264,0.007,7291621,15759374229,15759374229,1928605,1928605,2016,공포(호러),15
38,36,내부자들: 디 오리지널,2015-12-31,0.257,0.007,7487840,15742927260,16979714975,1924720,2084868,2016,범죄,19
39,36,스타트렉 비욘드,2016-08-17,0.169,0.007,6837938,10190375820,10190375820,1157156,1157156,2016,액션,12
40,36,런던 해즈 폴른,2016-03-10,0.101,0.007,7226633,5908367979,5908367979,731584,731584,2016,액션,15
41,40,제이슨 본,2016-07-27,0.425,0.006,6133837,21253434663,21253434663,2611966,2611966,2016,액션,15
42,40,탐정 홍길동: 사라진 마을,2016-05-04,0.247,0.006,5780595,11516170845,11516170845,1430885,1430885,2016,드라마,15
43,40,벤허,2016-09-14,0.222,0.006,6286111,11410860395,11410860395,1400301,1400301,2016,어드벤처,12
44,40,특별수사: 사형수의 편지,2016-06-16,0.194,0.006,6384125,9929947065,9929947065,1241899,1241899,2016,범죄,15
45,40,워크래프트: 전쟁의 서막,2016-06-09,0.184,0.006,6316465,10142271205,10142271205,1163274,1163274,2016,액션,12
46,40,미씽: 사라진 여자,2016-11-30,0.189,0.006,6071229,8881616256,8881616256,1153109,1153109,2016,미스터리,15
47,40,"당신, 거기 있어줄래요",2016-12-14,0.185,0.006,6050233,8999085248,8999085248,1124815,1124815,2016,판타지,12
48,40,맨 인 더 다크,2016-10-05,0.153,0.006,6526133,8480368672,8480368672,1003406,1003406,2016,스릴러,19
49,40,갓 오브 이집트,2016-03-03,0.143,0.006,6393590,7621291624,7621291624,919834,919834,2016,어드벤처,12
50,49,마이펫의 이중생활,2016-08-03,0.439,0.005,5738735,19406436655,19406436655,2520670,2520670,2016,애니메이션,전체
51,49,수어사이드 스쿼드,2016-08-03,0.386,0.005,4908292,15874111188,15874111188,1898220,1898220,2016,액션,15
52,49,굿 다이노,2016-01-07,0.251,0.005,5278490,9756167238,9766629238,1328913,1330183,2016,애니메이션,전체
53,49,셜록: 유령신부,2016-01-02,0.224,0.005,5696507,9992425049,9992425049,1278894,1278894,2016,범죄,12
54,49,동주,2016-02-17,0.209,0.005,5604184,8889077089,8889077089,1172641,1172641,2016,드라마,12
55,49,라이트 아웃,2016-08-24,0.197,0.005,5635533,8893059975,8893059975,1111284,1111284,2016,공포(호러),15
56,49,"고산자, 대동여지도",2016-09-07,0.17,0.005,5706654,7801007258,7801007258,974262,974262,2016,사극,전체
57,49,레전드 오브 타잔,2016-06-29,0.176,0.005,4864865,7196970717,7196970717,858402,858402,2016,액션,12
58,49,스플릿,2016-11-09,0.156,0.005,4835764,6102712539,6102712539,758195,758195,2016,드라마,15
59,49,인페르노,2016-10-19,0.124,0.005,5545139,5656281303,5656281303,689071,689071,2016,미스터리,15
60,49,사냥,2016-06-29,0.128,0.005,5035013,4912658515,4912658515,645922,645922,2016,액션,15
61,49,널 기다리며,2016-03-10,0.113,0.005,5581973,5234303336,5234303336,635235,635235,2016,스릴러,19
62,49,가려진 시간,2016-11-16,0.105,0.005,4857738,3946462400,3946462400,510878,510878,2016,드라마,12
63,49,해어화,2016-04-13,0.096,0.005,5035591,3768200759,3768200759,485695,485695,2016,사극,15
64,49,헌츠맨: 윈터스 워,2016-04-13,0.092,0.005,4834415,3544262706,3544262706,445009,445009,2016,액션,12
65,64,미 비포 유,2016-06-01,0.243,0.004,3877203,7663772990,7663772990,945172,945172,2016,멜로/로맨스,12
66,64,매그니피센트 7,2016-09-14,0.217,0.004,4241127,7633490421,7633490421,921317,921317,2016,액션,15
67,64,좋아해줘,2016-02-17,0.213,0.004,3973573,6572774337,6572774337,848148,848148,2016,멜로/로맨스,12
68,64,브리짓 존스의 베이비,2016-09-28,0.178,0.004,4591583,6678585874,6678585874,820995,820995,2016,코미디,15
69,64,그날의 분위기,2016-01-14,0.144,0.004,4523773,5149571612,5149571612,653287,653287,2016,멜로/로맨스,15
70,64,설리: 허드슨강의 기적,2016-09-28,0.147,0.004,4248593,5234170754,5234170754,627102,627102,2016,드라마,12
71,64,잭 리처: 네버 고 백,2016-11-30,0.155,0.004,3932390,4638072258,4638072258,611097,611097,2016,액션,15
72,64,클로버필드 10번지,2016-04-07,0.079,0.004,4500867,2928428655,2928428655,357736,357736,2016,미스터리,15
73,64,위대한 소원,2016-04-21,0.079,0.004,3886462,2440004213,2440004213,308398,308398,2016,코미디,15
74,73,국가대표 2,2016-08-10,0.24,0.003,2947088,5482232042,5482232042,709929,709929,2016,드라마,12
75,73,메카닉: 리크루트,2016-08-31,0.176,0.003,3123681,4458200800,4458200800,551897,551897,2016,액션,15
76,73,고스트버스터즈,2016-08-25,0.174,0.003,2954882,4116570075,4116570075,515553,515553,2016,액션,12
77,73,"로봇, 소리",2016-01-27,0.129,0.003,3691275,3519595560,3519595560,476665,476665,2016,드라마,12
78,73,나를 잊지 말아요,2016-01-07,0.145,0.003,2921559,3398915000,3409535000,425799,427197,2016,멜로/로맨스,15
79,73,독수리 에디,2016-04-07,0.073,0.003,3065891,1799381120,1799381120,226341,226341,2016,드라마,12
80,79,씽,2016-12-21,0.377,0.002,2816754,8203857789,8203857789,1063175,1063175,2016,애니메이션,전체
81,79,앵그리버드 더 무비,2016-05-19,0.318,0.002,2139514,5218111744,5218111744,680606,680606,2016,애니메이션,전체
82,79,로그 원: 스타워즈 스토리,2016-12-28,0.215,0.002,2769769,5127537094,5127537094,596487,596487,2016,액션,12
83,79,몬스터 호텔 2,2015-12-24,0.285,0.002,1931781,4059258691,11088271276,552334,1515104,2016,애니메이션,전체
84,79,거울나라의 앨리스,2016-09-07,0.187,0.002,2733672,4145733267,4145733267,513202,513202,2016,어드벤처,12
85,79,계춘할망,2016-05-19,0.183,0.002,2629439,3600794348,3600794348,482516,482516,2016,가족,15
86,79,스타워즈: 깨어난 포스,2015-12-17,0.234,0.002,2004768,4204317791,28353796331,470645,3273879,2016,액션,12
87,79,빅쇼트,2016-01-21,0.179,0.002,2491615,3622652707,3622652707,446712,446712,2016,드라마,19
88,79,조선마술사,2015-12-30,0.207,0.002,1947255,3143566733,4650016527,403919,628576,2016,드라마,12
89,79,위자: 저주의 시작,2016-11-09,0.148,0.002,2235279,2637517406,2637517406,331877,331877,2016,공포(호러),12
90,79,비밀은 없다,2016-06-23,0.119,0.002,2103251,2029410239,2029410239,250829,250829,2016,스릴러,19
91,79,닌자터틀 : 어둠의 히어로,2016-06-16,0.114,0.002,2048528,1934052000,1934052000,235207,235207,2016,액션,12
92,79,대배우,2016-03-30,0.067,0.002,2502311,1246200228,1246200228,169984,169984,2016,코미디,12
93,92,아이스 에이지: 지구 대충돌,2016-07-20,0.321,0.001,1720417,4092484600,4092484600,553760,553760,2016,애니메이션,전체
94,92,명탐정 코난: 순흑의 악몽,2016-08-03,0.483,0.001,1052372,3766157500,3766157500,508869,508869,2016,애니메이션,12
95,92,언더 워터,2016-07-13,0.215,0.001,1787308,3111772391,3111772391,384789,384789,2016,공포(호러),15
96,92,아기배달부 스토크,2016-12-07,0.254,0.001,1267594,2436955700,2436955700,322354,322354,2016,애니메이션,전체
97,92,스포트라이트,2016-02-24,0.16,0.001,1873545,2402036255,2402036255,299878,299878,2016,드라마,15
