,지역,극장수,스크린수,좌석수,휴관_극장수,휴관_스크린수,폐관_극장수,폐관_스크린수,년도,help
0,서울,83,533,92300,1,1,2,2,2016,2016-12-31
1,부산,27,200,38386,0,0,1,8,2016,2016-12-31
2,대구,23,143,22888,0,0,0,0,2016,2016-12-31
3,인천,23,146,23697,0,0,0,0,2016,2016-12-31
4,광주,13,106,18029,1,1,0,0,2016,2016-12-31
5,대전,10,66,11692,0,0,1,6,2016,2016-12-31
6,울산,6,38,6320,0,0,0,0,2016,2016-12-31
7,세종 ,2,12,1843,0,0,0,0,2016,2016-12-31
8,경기,92,588,92370,0,0,0,0,2016,2016-12-31
9,강원,17,83,12010,1,1,0,0,2016,2016-12-31
10,충북,13,94,16020,0,0,0,0,2016,2016-12-31
11,충남,18,95,13061,2,6,0,0,2016,2016-12-31
12,전북,24,107,15702,0,0,1,6,2016,2016-12-31
13,전남,12,68,9588,0,0,1,6,2016,2016-12-31
14,경북,21,110,17497,0,0,0,0,2016,2016-12-31
15, 경남 ,27,153,25085,0,0,0,0,2016,2016-12-31
16,제주,6,33,4548,0,0,0,0,2016,2016-12-31
17,서울,86,555,94953,0,0,2,12,2017,2017-12-31
18,부산,30,216,35622,0,0,1,10,2017,2017-12-31
19,대구,23,143,22406,0,0,0,0,2017,2017-12-31
20,인천,25,161,26022,0,0,0,0,2017,2017-12-31
21,광주,15,112,17846,0,0,0,0,2017,2017-12-31
22,대전,10,66,11692,0,0,0,0,2017,2017-12-31
23,울산,6,38,6466,0,0,0,0,2017,2017-12-31
24,세종 ,2,12,1843,0,0,0,0,2017,2017-12-31
25,경기,100,638,99818,0,0,0,0,2017,2017-12-31
26,강원,19,101,14203,1,1,0,0,2017,2017-12-31
27,충북,13,94,15661,1,8,0,0,2017,2017-12-31
28,충남,21,103,13264,0,0,1,5,2017,2017-12-31
29,전북,24,107,15656,0,0,0,0,2017,2017-12-31
30,전남,18,97,13482,0,0,0,0,2017,2017-12-31
31,경북,26,129,19628,0,0,0,0,2017,2017-12-31
32, 경남 ,29,162,25059,0,0,1,6,2017,2017-12-31
33,제주,5,32,4161,0,0,1,1,2017,2017-12-31
34,서울,86,571,94963,1,1,1,1,2018,2018-12-31
35,부산,27,208,34323,0,0,3,8,2018,2018-12-31
36,대구,24,150,22925,0,0,1,9,2018,2018-12-31
37,인천,28,180,27883,0,0,0,0,2018,2018-12-31
38,광주,17,128,18325,1,1,0,0,2018,2018-12-31
39,대전,11,73,12551,0,0,0,0,2018,2018-12-31
40,울산,7,45,7616,0,0,0,0,2018,2018-12-31
41,세종 ,2,12,1843,0,0,0,0,2018,2018-12-31
42,경기,107,685,104971,1,3,0,0,2018,2018-12-31
43,강원,24,110,14802,0,0,0,0,2018,2018-12-31
44,충북,16,107,16977,0,0,1,11,2018,2018-12-31
45,충남,25,115,14414,0,0,0,0,2018,2018-12-31
46,전북,26,118,17501,0,0,0,0,2018,2018-12-31
47,전남,20,102,13494,0,0,0,0,2018,2018-12-31
48,경북,29,138,18859,1,1,0,0,2018,2018-12-31
49, 경남 ,28,158,23785,1,2,1,6,2018,2018-12-31
50,제주,6,37,4533,0,0,0,0,2018,2018-12-31
51,서울,90,591,97232,0,0,0,0,2019,2019-12-31
52,부산,29,217,34786,0,0,0,0,2019,2019-12-31
53,대구,25,156,23049,0,0,0,0,2019,2019-12-31
54,인천,27,168,26099,0,0,2,15,2019,2019-12-31
55,광주,17,128,18248,0,0,0,0,2019,2019-12-31
56,대전,14,93,15758,0,0,0,0,2019,2019-12-31
57,울산,8,50,8177,0,0,0,0,2019,2019-12-31
58,세종 ,2,12,1843,0,0,0,0,2019,2019-12-31
59,경기,115,727,108707,1,6,0,0,2019,2019-12-31
60,강원,26,114,14905,0,0,0,0,2019,2019-12-31
61,충북,19,125,19491,0,0,0,0,2019,2019-12-31
62,충남,25,115,14194,0,0,1,10,2019,2019-12-31
63,전북,27,124,18584,0,0,0,0,2019,2019-12-31
64,전남,21,104,13362,0,0,0,0,2019,2019-12-31
65,경북,30,142,18600,0,0,0,0,2019,2019-12-31
66, 경남 ,32,177,25754,0,0,0,0,2019,2019-12-31
67,제주,6,36,4373,0,0,0,0,2019,2019-12-31
68,서울,81,573,94107,10,31,1,2,2020,2020-12-31
69,부산,27,211,33762,1,1,1,4,2020,2020-12-31
70,대구,22,136,19958,2,19,1,1,2020,2020-12-31
71,인천,23,148,22584,4,20,2,13,2020,2020-12-31
72,광주,15,111,16562,2,17,0,0,2020,2020-12-31
73,대전,16,101,16979,0,0,0,0,2020,2020-12-31
74,울산,7,48,7967,1,2,0,0,2020,2020-12-31
75,세종,4,23,3274,0,0,0,0,2020,2020-12-31
76,경기,122,780,115087,4,12,2,14,2020,2020-12-31
77,강원,17,95,13127,9,19,0,0,2020,2020-12-31
78,충북,16,113,17060,2,4,1,8,2020,2020-12-31
79,충남,23,118,14615,6,18,0,0,2020,2020-12-31
80,전북,21,114,17180,4,7,3,10,2020,2020-12-31
81,전남,13,81,11615,5,10,3,13,2020,2020-12-31
82,경북,25,132,17406,4,5,2,9,2020,2020-12-31
83, 경남 ,36,194,26187,1,2,1,6,2020,2020-12-31
84,제주,6,37,4358,0,0,0,0,2020,2020-12-31
85,서울,89,588,96058,1,1,3,23,2021,2021-12-31
86,부산,29,223,33927,1,2,1,1,2021,2021-12-31
87,대구,23,148,21521,0,0,2,13,2021,2021-12-31
88,인천,24,155,23518,4,19,0,0,2021,2021-12-31
89,광주,17,128,17473,0,0,0,0,2021,2021-12-31
90,대전,17,108,17955,0,0,0,0,2021,2021-12-31
91,울산,8,50,8173,0,0,0,0,2021,2021-12-31
92,세종,4,23,3284,0,0,0,0,2021,2021-12-31
93,경기,132,830,118406,1,4,3,17,2021,2021-12-31
94,강원,24,116,14836,3,4,0,0,2021,2021-12-31
95,충북,20,119,16456,0,0,0,6,2021,2021-12-31
96,충남,28,142,17478,3,8,0,0,2021,2021-12-31
97,전북,28,138,19298,1,1,0,0,2021,2021-12-31
98,전남,23,101,12944,0,0,0,0,2021,2021-12-31
99,경북,32,155,19437,0,0,1,3,2021,2021-12-31
100, 경남 ,38,197,26032,0,0,0,0,2021,2021-12-31
101,제주,6,33,3584,0,0,1,6,2021,2021-12-31
